isp,source,text_clean,compound,label,published_at,month,topics
9mobile,twitter,glo internet speed is embarrassingly slow cannot work from home,-0.2904,negative,2026-05-01 01:18:38.802481,2026-05,Slow speed
9mobile,news,9mobile faces backlash over unexpected data depletion complaints surge,-0.1725,negative,2026-03-07 12:08:38.802513,2026-03,Data depletion
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-0.2547,negative,2026-04-09 09:55:38.802566,2026-04,Other
9mobile,twitter,9mobile coverage dead zone in my entire neighborhood useless,-0.3782,negative,2026-02-16 10:55:38.802596,2026-02,Network outage
9mobile,twitter,9mobile coverage dead zone in my entire neighborhood useless,-0.3782,negative,2026-02-16 10:55:38.802596,2026-02,Poor coverage
9mobile,news,9mobile network reliability drops amid infrastructure challenges,-0.4232,negative,2026-03-28 13:18:38.802622,2026-03,Other
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.2021,negative,2026-03-28 15:03:38.802698,2026-03,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.2021,negative,2026-03-28 15:03:38.802698,2026-03,Billing issues
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.287,negative,2026-03-13 11:45:38.802857,2026-03,Other
9mobile,twitter,airtel keeps throttling my connection after half my data is used,-0.309,negative,2026-04-23 04:27:38.802907,2026-04,Data depletion
9mobile,twitter,airtel keeps throttling my connection after half my data is used,-0.283,negative,2026-04-17 09:18:38.802932,2026-04,Data depletion
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-1.0,negative,2026-03-21 22:10:38.802982,2026-03,Other
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.2078,negative,2026-02-23 18:16:38.803008,2026-02,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.2078,negative,2026-02-23 18:16:38.803008,2026-02,Billing issues
9mobile,news,9mobile outage affects thousands of customers in major cities,-0.4794,negative,2026-04-18 03:50:38.803039,2026-04,Network outage
9mobile,news,9mobile outage affects thousands of customers in major cities,-0.059,negative,2026-04-04 10:35:38.803067,2026-04,Network outage
9mobile,twitter,mtn network congestion every evening ruins my streaming experience,-0.1698,negative,2026-05-01 17:09:38.803091,2026-05,Other
9mobile,twitter,mtn network congestion every evening ruins my streaming experience,-0.7344,negative,2026-04-21 14:01:38.803142,2026-04,Other
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.3799,negative,2026-03-02 20:05:38.803192,2026-03,Other
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.1788,negative,2026-03-11 10:30:38.803242,2026-03,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.1788,negative,2026-03-11 10:30:38.803242,2026-03,Billing issues
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.2021,negative,2026-04-03 09:09:38.803307,2026-04,Other
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.3543,negative,2026-03-20 23:00:38.803394,2026-03,Slow speed
9mobile,twitter,airtel keeps throttling my connection after half my data is used,-1.0,negative,2026-03-17 22:10:38.803418,2026-03,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.3977,negative,2026-02-11 03:50:38.803444,2026-02,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.3977,negative,2026-02-11 03:50:38.803444,2026-02,Billing issues
9mobile,news,9mobile outage affects thousands of customers in major cities,-0.7125,negative,2026-04-08 14:22:38.803498,2026-04,Network outage
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.2543,negative,2026-02-16 07:34:38.803523,2026-02,Other
9mobile,twitter,mtn network congestion every evening ruins my streaming experience,-0.4534,negative,2026-02-18 17:49:38.803579,2026-02,Other
9mobile,news,9mobile slapped with fine by ncc over quality of service violations,-0.6687,negative,2026-03-06 12:07:38.803605,2026-03,Customer service
9mobile,news,9mobile slapped with fine by ncc over quality of service violations,-0.6687,negative,2026-03-06 12:07:38.803605,2026-03,App issues
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.3177,negative,2026-02-03 05:24:38.803682,2026-02,Network outage
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.3177,negative,2026-02-03 05:24:38.803682,2026-02,Customer service
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.501,negative,2026-03-22 02:09:38.803732,2026-03,Slow speed
9mobile,news,9mobile network reliability drops amid infrastructure challenges,-0.2868,negative,2026-03-08 13:29:38.803760,2026-03,Other
9mobile,twitter,mtn network congestion every evening ruins my streaming experience,-0.6061,negative,2026-03-26 00:13:38.803784,2026-03,Other
9mobile,news,9mobile slapped with fine by ncc over quality of service violations,-0.2385,negative,2026-03-09 09:02:38.803841,2026-03,Customer service
9mobile,news,9mobile slapped with fine by ncc over quality of service violations,-0.2385,negative,2026-03-09 09:02:38.803841,2026-03,App issues
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.4381,negative,2026-02-25 14:16:38.803867,2026-02,Other
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.2973,negative,2026-03-27 23:17:38.803944,2026-03,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.2973,negative,2026-03-27 23:17:38.803944,2026-03,Billing issues
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.1995,negative,2026-02-10 03:49:38.804022,2026-02,Other
9mobile,twitter,9mobile customer service kept me on hold for 45 minutes unacceptable,-0.2359,negative,2026-03-20 17:12:38.804046,2026-03,Customer service
9mobile,news,9mobile network reliability drops amid infrastructure challenges,-0.3124,negative,2026-02-15 12:41:38.804073,2026-02,Other
9mobile,twitter,9mobile customer service kept me on hold for 45 minutes unacceptable,-0.6416,negative,2026-02-07 18:09:38.804100,2026-02,Customer service
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-0.1898,negative,2026-04-24 16:12:38.804127,2026-04,Other
9mobile,twitter,mtn network congestion every evening ruins my streaming experience,-0.2241,negative,2026-03-08 14:05:38.804152,2026-03,Other
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-0.1814,negative,2026-04-02 10:56:38.804318,2026-04,Other
9mobile,twitter,9mobile customer service kept me on hold for 45 minutes unacceptable,-0.2146,negative,2026-02-20 00:25:38.804537,2026-02,Customer service
9mobile,twitter,worst customer service experience ever with glo never again,-0.3577,negative,2026-03-29 01:52:38.804567,2026-03,Customer service
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.3499,negative,2026-02-26 17:18:38.804592,2026-02,Network outage
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.3499,negative,2026-02-26 17:18:38.804592,2026-02,Customer service
9mobile,twitter,airtel keeps throttling my connection after half my data is used,-0.3124,negative,2026-03-18 20:07:38.804615,2026-03,Data depletion
9mobile,twitter,airtel keeps throttling my connection after half my data is used,-0.9214,negative,2026-04-29 03:03:38.804716,2026-04,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.6071,negative,2026-02-13 18:57:38.804740,2026-02,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.6071,negative,2026-02-13 18:57:38.804740,2026-02,Billing issues
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.271,negative,2026-04-24 11:53:38.804765,2026-04,Slow speed
9mobile,news,9mobile faces backlash over unexpected data depletion complaints surge,-0.3263,negative,2026-02-17 17:34:38.804799,2026-02,Data depletion
9mobile,twitter,9mobile customer service kept me on hold for 45 minutes unacceptable,-0.486,negative,2026-03-26 07:39:38.804825,2026-03,Customer service
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.0767,negative,2026-02-01 02:14:38.804849,2026-02,Network outage
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.0767,negative,2026-02-01 02:14:38.804849,2026-02,Customer service
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.3825,negative,2026-02-23 02:20:38.804929,2026-02,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.3825,negative,2026-02-23 02:20:38.804929,2026-02,Billing issues
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.5026,negative,2026-02-19 04:21:38.804980,2026-02,Slow speed
9mobile,twitter,worst customer service experience ever with glo never again,-0.1537,negative,2026-02-10 02:24:38.805036,2026-02,Customer service
9mobile,twitter,glo internet disconnects every few minutes how is this acceptable,-0.147,negative,2026-02-28 01:44:38.805064,2026-02,Other
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.4481,negative,2026-04-24 07:16:38.805090,2026-04,Slow speed
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.3503,negative,2026-03-28 14:28:38.805114,2026-03,Network outage
9mobile,twitter,mtn internet completely down for 3 hours terrible service,-0.3503,negative,2026-03-28 14:28:38.805114,2026-03,Customer service
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.5347,negative,2026-04-30 16:02:38.805140,2026-04,Slow speed
9mobile,twitter,9mobile coverage dead zone in my entire neighborhood useless,-0.712,negative,2026-04-16 23:32:38.805163,2026-04,Network outage
9mobile,twitter,9mobile coverage dead zone in my entire neighborhood useless,-0.712,negative,2026-04-16 23:32:38.805163,2026-04,Poor coverage
9mobile,twitter,worst customer service experience ever with glo never again,-0.2144,negative,2026-03-10 19:47:38.805190,2026-03,Customer service
9mobile,twitter,glo internet speed is embarrassingly slow cannot work from home,-0.5273,negative,2026-04-26 00:18:38.805215,2026-04,Slow speed
