id,source,isp,text_clean,compound,positive,neutral,negative,label,date,month,week,hour_of_day,url
676,news,Smile,smile introduces new business data plans for enterprise customers,0.0317,0.0216,0.2224,0.0,neutral,2026-05-02,2026-05,2026-W17,15,https://example.com/smile/2010
233,twitter,Airtel,smile internet perfect for working from home no complaints,0.5576,0.4841,0.1916,0.0,positive,2026-05-02,2026-05,2026-W17,12,https://example.com/airtel/1086
275,twitter,Glo,9mobile coverage dead zone in my entire neighborhood useless,-1.0,0.0,0.2484,0.7713,negative,2026-05-02,2026-05,2026-W17,8,https://example.com/glo/6371
561,news,Spectranet,spectranet signs partnership deal with international telecom provider,0.0494,0.0489,0.2035,0.0,neutral,2026-05-02,2026-05,2026-W17,6,https://example.com/spectranet/1799
580,news,Spectranet,spectranet customer satisfaction scores hit five year high,0.1558,0.1498,0.2939,0.0,positive,2026-05-02,2026-05,2026-W17,4,https://example.com/spectranet/1181
604,twitter,Smile,worst customer service experience ever with glo never again,-0.1262,0.0,0.3142,0.0771,negative,2026-05-02,2026-05,2026-W17,1,https://example.com/smile/6008
170,news,Airtel,airtel outage affects thousands of customers in major cities,-0.3177,0.0,0.4513,0.2695,negative,2026-05-02,2026-05,2026-W17,1,https://example.com/airtel/3675
86,news,MTN,mtn slapped with fine by ncc over quality of service violations,-0.2617,0.0,0.1722,0.2059,negative,2026-05-02,2026-05,2026-W17,0,https://example.com/mtn/2329
289,twitter,Glo,glo internet disconnects every few minutes how is this acceptable,-0.1436,0.0,0.1658,0.1434,negative,2026-05-02,2026-05,2026-W17,0,https://example.com/glo/1868
294,twitter,Glo,glo network always slow during peak hours so frustrating,-0.4701,0.0,0.352,0.3401,negative,2026-05-01,2026-05,2026-W17,20,https://example.com/glo/1692
556,twitter,Spectranet,airtel 5g speeds are incredible streaming without buffering,0.6509,0.6102,0.3895,0.0,positive,2026-05-01,2026-05,2026-W17,17,https://example.com/spectranet/6307
384,twitter,9mobile,mtn network congestion every evening ruins my streaming experience,-0.1698,0.0,0.4584,0.1316,negative,2026-05-01,2026-05,2026-W17,17,https://example.com/9mobile/6732
69,news,MTN,mtn expands 4g lte coverage across 12 new states improves connectivity,0.1007,0.0617,0.3793,0.0,positive,2026-05-01,2026-05,2026-W17,12,https://example.com/mtn/8485
661,twitter,Smile,spectranet fibre connection never disappoints fast reliable,0.0896,0.0808,0.321,0.0,positive,2026-05-01,2026-05,2026-W17,12,https://example.com/smile/3893
353,news,Glo,glo expands 4g lte coverage across 12 new states improves connectivity,0.4298,0.3505,0.4995,0.0,positive,2026-05-01,2026-05,2026-W17,9,https://example.com/glo/9123
475,twitter,9mobile,airtel network coverage improved a lot in my area good job,0.1653,0.1538,0.4059,0.0,positive,2026-05-01,2026-05,2026-W17,5,https://example.com/9mobile/3652
237,twitter,Airtel,glo network coverage map updated for 2024,0.0249,0.0195,0.3252,0.0,neutral,2026-05-01,2026-05,2026-W17,2,https://example.com/airtel/8019
361,twitter,9mobile,glo internet speed is embarrassingly slow cannot work from home,-0.2904,0.0,0.229,0.1831,negative,2026-05-01,2026-05,2026-W17,1,https://example.com/9mobile/7533
455,twitter,9mobile,glo network always slow during peak hours so frustrating,-0.5347,0.0,0.2041,0.4588,negative,2026-04-30,2026-04,2026-W17,16,https://example.com/9mobile/1438
372,twitter,9mobile,spectranet fibre connection never disappoints fast reliable,0.7832,0.5467,0.4144,0.0,positive,2026-04-30,2026-04,2026-W17,9,https://example.com/9mobile/8171
55,news,MTN,mtn launches fibre broadband service fastest speeds in region,0.5963,0.4379,0.3737,0.0,positive,2026-04-30,2026-04,2026-W17,6,https://example.com/mtn/8769
153,news,Airtel,airtel cuts data prices by 20 percent for all subscribers,0.4257,0.3661,0.3146,0.0,positive,2026-04-30,2026-04,2026-W17,1,https://example.com/airtel/7220
634,twitter,Smile,spectranet fibre connection never disappoints fast reliable,0.2567,0.168,0.3377,0.0,positive,2026-04-29,2026-04,2026-W17,11,https://example.com/smile/9679
585,news,Spectranet,spectranet network reliability drops amid infrastructure challenges,-0.1628,0.0,0.1954,0.1143,negative,2026-04-29,2026-04,2026-W17,6,https://example.com/spectranet/4282
277,twitter,Glo,mtn customer service actually resolved my issue quickly impressed,0.3148,0.2764,0.2283,0.0,positive,2026-04-29,2026-04,2026-W17,5,https://example.com/glo/2320
439,twitter,9mobile,airtel keeps throttling my connection after half my data is used,-0.9214,0.0,0.3678,0.8904,negative,2026-04-29,2026-04,2026-W17,3,https://example.com/9mobile/3921
379,twitter,9mobile,airtel 5g speeds are incredible streaming without buffering,0.2341,0.1421,0.2399,0.0,positive,2026-04-28,2026-04,2026-W17,20,https://example.com/9mobile/3814
310,twitter,Glo,glo network always slow during peak hours so frustrating,-0.2083,0.0,0.4801,0.1541,negative,2026-04-28,2026-04,2026-W17,18,https://example.com/glo/1170
485,twitter,Spectranet,mtn customer service actually resolved my issue quickly impressed,0.0623,0.0451,0.332,0.0,positive,2026-04-28,2026-04,2026-W17,13,https://example.com/spectranet/4572
106,news,MTN,mtn customer complaints up 35 percent in latest industry report,-0.0826,0.0,0.2525,0.0607,negative,2026-04-28,2026-04,2026-W17,5,https://example.com/mtn/9294
510,news,Spectranet,spectranet launches fibre broadband service fastest speeds in region,0.1221,0.1154,0.2999,0.0,positive,2026-04-27,2026-04,2026-W17,23,https://example.com/spectranet/2988
222,twitter,Airtel,glo network coverage map updated for 2024,-0.0196,0.0,0.2276,0.0171,neutral,2026-04-27,2026-04,2026-W17,21,https://example.com/airtel/6403
90,news,MTN,mtn cuts data prices by 20 percent for all subscribers,0.1958,0.1181,0.3013,0.0,positive,2026-04-27,2026-04,2026-W17,11,https://example.com/mtn/3613
